KOD_RUIAN;KOD_CSU
507;4101
27;2101
51;2102
1295;6201
434;3101
591;3201
1783;8102
1309;6202
213;2103
1317;6203
1031;5201
1716;8103
1627;6205
1678;6101
1520;7201
906;4201
1830;8101
1384;6204
515;4102
752;4203
931;6104
981;5304
337;3104
1104;5202
248;2107
485;3202
1201;5203
728;4202
1848;8105
1741;8106
809;5102
1759;8107
949;6102
1791;8108
19;1100
990;5302
1929;8109
1473;6206
1538;7202
1074;5303
558;3203
493;3204
1007;5204
60;2108
965;5205
1970;7101
361;6103
1392;6207
1325;6208
779;5103
1767;8110
1040;5206
2062;7102
1503;6105
1139;5104
345;3105
1015;5207
761;4204
311;3106
531;4103
1805;8111
78;2109
566;3205
94;2110
1554;7103
1856;8112
1112;5208
639;3206
132;2111
663;4104
1937;8113
1724;8114
1546;7203
1236;5305
116;2112
1333;6209
1481;6210
1244;5306
817;5105
1988;7104
1163;5307
825;4205
1881;7105
884;4206
850;4207
833;4208
1422;7204
183;2113
523;4105
1406;6211
396;3107
167;2115
175;2116
2003;7106
1171;5308
1571;6106
1651;6212
892;4209
141;2114
604;3207
159;2117
1023;5210
1686;6108
1058;5211
701;5106
973;5212
1864;8115
191;2118
1066;5209
1589;6107
647;3208
1872;8116
1899;7107
1945;8117
1813;8118
1961;8119
540;4106
1431;7205
370;6109
1082;5309
388;6110
582;3209
868;4210
205;2119
1414;6213
1180;5310
418;3109
1562;7108
400;3108
1091;5311
1996;7109
612;3210
256;2120
272;2121
655;3211
1341;6214
841;4211
2038;7206
736;4212
1121;5213
1732;8120
264;2123
1147;5107
86;2124
1635;6215
469;3110
671;4107
621;3212
442;3111
680;3213
574;3214
1198;5312
957;6111
698;3215
787;5108
1511;6112
914;4213
1350;6217
281;3113
1210;5214
1155;5109
477;3112
299;3115
353;3114
1597;6113
1775;8121
1601;7207
1619;7208
1902;7112
1449;7209
2046;7210
744;4215
1694;6114
1490;6218
426;3116
1457;7211
35;2125
451;3117
43;2126
1228;5215
2054;7212
1252;5314
1643;6219
1953;8122
1465;7213
1660;6220
2011;7113
922;4214
1287;5313
230;2105
710;5101
1279;5301
302;3102
108;2106
329;3103
1821;8104
124;2104
221;2122
1368;6216
1911;7110
2020;7111
1261;5315
876;4216
795;5110
1376;6221
1708;6115
